127.0.0.1, 2016-03-26 00:30:21, GET, /, HTTP/1.1, 303, 0.000682
127.0.0.1, 2016-03-26 00:30:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.767242
127.0.0.1, 2016-03-26 00:30:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.019623
127.0.0.1, 2016-03-26 00:35:55, GET, /, HTTP/1.1, 303, 0.000961
127.0.0.1, 2016-03-26 00:35:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.108884
127.0.0.1, 2016-03-26 00:36:09, GET, /admin/default/index, HTTP/1.1, 200, 0.155213
127.0.0.1, 2016-03-26 00:36:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000336
127.0.0.1, 2016-03-26 00:36:13, POST, /admin/default/index, HTTP/1.1, 303, 0.029948
127.0.0.1, 2016-03-26 00:36:13, GET, /admin/default/site, HTTP/1.1, 200, 0.036166
127.0.0.1, 2016-03-26 00:36:14, POST, /admin/default/check_version, HTTP/1.1, 200, 1.088016
127.0.0.1, 2016-03-26 00:36:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2016-03-26 00:36:18, POST, /admin/default/site, HTTP/1.1, 303, 0.076966
127.0.0.1, 2016-03-26 00:36:18, GET, /admin/default/design/GRS, HTTP/1.1, 200, 0.130701
127.0.0.1, 2016-03-26 00:36:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/default/design/GRS, HTTP/1.1, 200, 0.095751
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/js/jquery.js, HTTP/1.1, 200, 0.001392
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/css/calendar.css, HTTP/1.1, 200, 0.001732
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/js/web2py.js, HTTP/1.1, 200, 0.001023
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/js/calendar.js, HTTP/1.1, 200, 0.001057
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000605
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000451
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000505
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001820
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000505
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/css/calendar.css, HTTP/1.1, 304, 0.000345
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000647
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.001190
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002535
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002180
127.0.0.1, 2016-03-26 00:40:41, GET, /admin/static/_2.14.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003501
